ds,yhat,yhat_diff
2025-10-04,71.70319602555499,
2025-10-05,72.28325512951932,0.5800591039643308
2025-10-06,71.59274157398545,-0.6905135555338688
2025-10-07,72.55885782476113,0.9661162507756842
2025-10-08,72.0406783340259,-0.5181794907352355
2025-10-09,71.97741048545922,-0.06326784856668155
2025-10-10,72.69140771449204,0.7139972290328274
2025-10-11,70.68311267570618,-2.0082950387858602
2025-10-12,71.26317175728731,0.5800590815811262
2025-10-13,70.57265817877848,-0.6905135785088277
2025-10-14,71.5387743951164,0.9661162163379231
2025-10-15,71.02059486993495,-0.518179525181452
2025-10-16,70.95732698696551,-0.0632678829694413
2025-10-17,71.67132418159525,0.7139971946297408
2025-10-18,69.66302913072848,-2.008295050866778
2025-10-19,70.24308820023448,0.5800590695060066
2025-10-20,69.55264624789872,-0.6904419523357603
2025-10-21,70.51883410167987,0.9661878537811504
2025-10-22,70.00120836163504,-0.517625740044835
2025-10-23,69.9384942639647,-0.06271409767033731
2025-10-24,70.68590229609342,0.7474080321287175
2025-10-25,68.71101808279197,-1.9748842133014506
2025-10-26,69.32463870993598,0.6136206271440159
2025-10-27,68.66768667758062,-0.6569520323553633
2025-10-28,69.97296743858844,1.3052807610078219
2025-10-29,69.79485383996692,-0.17811359862152187
2025-10-30,70.07165188370334,0.27679804373642014
2025-10-31,71.1257154721462,1.0540635884428582
2025-11-01,69.4574868151583,-1.6682286569878926
2025-11-02,70.37761227884026,0.9201254636819556
2025-11-03,70.02716508302163,-0.3504471958186315
2025-11-04,71.33334769313288,1.3061826101112501
2025-11-05,71.15523456172674,-0.1781131314061355
2025-11-06,71.43203307182488,0.27679851009813206
2025-11-07,72.48609665951449,1.0540635876896118
2025-11-08,70.81751817543775,-1.6685784840767326
2025-11-09,71.73729381172706,0.9197756362893017
2025-11-10,71.38649241006827,-0.35080140165878504
2025-11-11,72.6923208145201,1.3058284044518302
2025-11-12,72.51357889788679,-0.17874191663331374
2025-11-13,72.78891815130135,0.27533925341455756
2025-11-14,73.84152248231517,1.052604331013825
2025-11-15,71.88540661515323,-1.956115867161941
2025-11-16,72.5176448683566,0.6322382532033686
2025-11-17,71.87930252704602,-0.638342341310576
2025-11-18,72.89758999184825,1.0182874648022278
2025-11-19,72.43158171519003,-0.466008276658215
2025-11-20,72.42048508089448,-0.011096634295554964
2025-11-21,73.18665352414367,0.7661684432491853
2025-11-22,71.2305297219613,-1.9561238021823613
2025-11-23,71.86276004015014,0.6322303181888316
2025-11-24,71.22441769883878,-0.6383423413113576
2025-11-25,72.24270516364736,1.01828746480858
2025-11-26,71.77669688693165,-0.4660082767157121
2025-11-27,71.76560025257899,-0.011096634352654178
2025-11-28,72.53176869582627,0.7661684432472811
2025-11-29,70.57564489364924,-1.9561238021770322
2025-11-30,71.20787521183603,0.6322303181867852
2025-12-01,70.569532870525,-0.6383423413110307
2025-12-02,71.58782033532754,1.0182874648025404
2025-12-03,71.1218120586178,-0.46600827670972933
2025-12-04,71.11071542426755,-0.011096634350252543
2025-12-05,71.87688386751329,0.7661684432457321
2025-12-06,69.92076006533446,-1.9561238021788228
2025-12-07,70.552990383521,0.6322303181865436
2025-12-08,69.9146480422112,-0.6383423413098086
2025-12-09,70.93293550701175,1.0182874648005509
2025-12-10,70.46692723030374,-0.4660082767080098
2025-12-11,70.45583059595612,-0.011096634347623535
2025-12-12,71.22199903919875,0.7661684432426341
2025-12-13,69.26587523701757,-1.9561238021811818
2025-12-14,69.89810555520599,0.6322303181884195
2025-12-15,69.25976321389467,-0.638342341311315
2025-12-16,70.27805067869593,1.0182874648012614
